GENESIS-Tabelle: 13211-0002
Arbeitslose, Arbeitslosenquoten, Gemeldete Arbeitsstellen,;;;;;;;;
Kurzarbeiter, Kurzarbeitende Betriebe: Deutschland/;;;;;;;;
Früheres Bundesgebiet/Neue Länder, Monate;;;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;;;
;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen;Kurzarbeiter;Kurzarbeitende Betriebe
;;;Anzahl;Prozent;Prozent;Anzahl;Anzahl;Anzahl
Insgesamt;2021;Dezember;2329529;5,1;5,6;793758;956796;147219
Insgesamt;2022;Januar;2462162;5,4;5,9;791560;1123426;160258
Insgesamt;2022;Februar;2427956;5,3;5,8;822471;1086576;159057
Insgesamt;2022;März;2362162;5,1;5,7;838533;888103;124639
Insgesamt;2022;April;2309207;5,0;5,5;851559;452933;59619
Insgesamt;2022;Mai;2259648;4,9;5,4;864884;318308;44796
Insgesamt;2022;Juni;2362888;5,2;5,6;877042;240905;36230
Insgesamt;2022;Juli;2470243;5,4;5,9;880543;114690;6792
Insgesamt;2022;August;2547344;5,6;6,1;886724;87447;6300
Insgesamt;2022;September;2485738;5,4;5,9;873356;108064;6706
Insgesamt;2022;Oktober;2442345;5,3;5,8;846482;133955;8152
Insgesamt;2022;November;2434021;5,3;5,8;823314;155570;9616
Insgesamt;2022;Dezember;2453879;5,4;5,8;781086;396879;46560
Insgesamt;2023;Januar;2616019;5,7;6,2;764326;451152;53057
Insgesamt;2023;Februar;2620169;5,7;6,2;778004;441113;50109
Insgesamt;2023;März;2593774;5,7;6,2;777033;397616;45683
Insgesamt;2023;April;2585677;5,7;6,2;772984;146092;8299
Insgesamt;2023;Mai;2543743;5,5;6,0;766595;148617;7999
Insgesamt;2023;Juni;2554982;5,5;6,0;769493;161873;8011
Insgesamt;2023;Juli;2617192;5,7;6,2;772358;113038;5824
Insgesamt;2023;August;2695827;5,8;6,4;771154;...;...
Insgesamt;2023;September;2627099;5,7;6,2;760764;...;...
Insgesamt;2023;Oktober;2607116;5,7;6,1;748665;...;...
Insgesamt;2023;November;2605732;5,6;6,1;732973;...;...
Insgesamt;2023;Dezember;2636728;5,7;6,2;712945;...;...
Insgesamt;2024;Januar;2805376;6,1;6,6;698572;-;-
