gender,age,year,population,employed_people,unemployed_people
Male,15 to under 20 years,2000-05,2393,799,71
Male,15 to under 20 years,2001-04,2357,751,72
Male,15 to under 20 years,2002-04,2365,732,72
Male,15 to under 20 years,2003-05,2399,718,93
Male,15 to under 20 years,2004-03,2410,695,99
Male,15 to under 20 years,2005,2551,728,120
Male,15 to under 20 years,2006,2516,731,119
Male,15 to under 20 years,2007,2508,765,110
Male,15 to under 20 years,2008,2425,770,92
Male,15 to under 20 years,2009,2323,717,87
Male,15 to under 20 years,2010,2210,664,78
Male,15 to under 20 years,2011,2066,615,66
Male,15 to under 20 years,2012,2051,577,57
Male,15 to under 20 years,2013,2057,582,56
Male,15 to under 20 years,2014,2069,580,57
Male,15 to under 20 years,2015,2120,573,48
Male,15 to under 20 years,2016,2194,619,54
Male,15 to under 20 years,2017,2132,607,57
Male,15 to under 20 years,2018,2093,605,52
Male,15 to under 20 years,2019,2062,620,50
Male,20 to under 25 years,1991-04,3094,2324,143
Male,20 to under 25 years,1992-05,2949,2181,160
Male,20 to under 25 years,1993-04,2806,1990,215
Male,20 to under 25 years,1994-04,2603,1815,228
Male,20 to under 25 years,1995-04,2467,1731,186
Male,20 to under 25 years,1996-04,2367,1639,207
Male,20 to under 25 years,1997-04,2290,1546,226
Male,20 to under 25 years,1998-04,2269,1555,214
Male,20 to under 25 years,1999-04,2255,1573,190
Male,20 to under 25 years,2000-05,2308,1602,186
Male,20 to under 25 years,2001-04,2349,1640,192
Male,20 to under 25 years,2002-04,2355,1562,235
Male,20 to under 25 years,2003-05,2412,1543,282
Male,20 to under 25 years,2004-03,2416,1469,319
Male,20 to under 25 years,2005,2525,1545,316
Male,20 to under 25 years,2006,2513,1594,267
Male,20 to under 25 years,2007,2517,1652,224
Male,20 to under 25 years,2008,2517,1680,200
Male,20 to under 25 years,2009,2510,1625,232
Male,20 to under 25 years,2010,2512,1643,191
Male,20 to under 25 years,2011,2438,1638,158
Male,20 to under 25 years,2012,2411,1585,148
Male,20 to under 25 years,2013,2368,1552,141
Male,20 to under 25 years,2014,2320,1508,134
Male,20 to under 25 years,2015,2247,1450,125
Male,20 to under 25 years,2016,2304,1471,124
Male,20 to under 25 years,2017,2326,1505,117
Male,20 to under 25 years,2018,2311,1539,111
Male,20 to under 25 years,2019,2314,1596,106
Male,25 to under 30 years,1991-04,3426,2860,171
Male,25 to under 30 years,1992-05,3452,2851,195
Male,25 to under 30 years,1993-04,3485,2788,253
Male,25 to under 30 years,1994-04,3406,2687,280
Male,25 to under 30 years,1995-04,3284,2617,245
Male,25 to under 30 years,1996-04,3174,2479,261
Male,25 to under 30 years,1997-04,3041,2384,277
Male,25 to under 30 years,1998-04,2838,2238,245
Male,25 to under 30 years,1999-04,2616,2086,221
Male,25 to under 30 years,2000-05,2423,1963,180
Male,25 to under 30 years,2001-04,2324,1864,186
Male,25 to under 30 years,2002-04,2216,1721,212
Male,25 to under 30 years,2003-05,2248,1693,257
Male,25 to under 30 years,2004-03,2261,1664,290
Male,25 to under 30 years,2005,2444,1808,285
Male,25 to under 30 years,2006,2506,1896,267
Male,25 to under 30 years,2007,2457,1907,222
Male,25 to under 30 years,2008,2486,1965,191
Male,25 to under 30 years,2009,2540,1971,236
Male,25 to under 30 years,2010,2517,1975,211
Male,25 to under 30 years,2011,2402,1923,162
Male,25 to under 30 years,2012,2424,1957,148
Male,25 to under 30 years,2013,2452,1972,157
Male,25 to under 30 years,2014,2533,2033,150
Male,25 to under 30 years,2015,2615,2102,149
Male,25 to under 30 years,2016,2814,2255,144
Male,25 to under 30 years,2017,2768,2238,135
Male,25 to under 30 years,2018,2650,2185,122
Male,25 to under 30 years,2019,2567,2155,104
Male,30 to under 35 years,1991-04,3089,2823,153
Male,30 to under 35 years,1992-05,3180,2883,176
Male,30 to under 35 years,1993-04,3320,2967,229
Male,30 to under 35 years,1994-04,3415,3018,266
Male,30 to under 35 years,1995-04,3501,3110,249
Male,30 to under 35 years,1996-04,3512,3087,263
Male,30 to under 35 years,1997-04,3516,3066,293
Male,30 to under 35 years,1998-04,3489,3049,285
Male,30 to under 35 years,1999-04,3401,3003,262
Male,30 to under 35 years,2000-05,3281,2932,214
Male,30 to under 35 years,2001-04,3130,2778,222
Male,30 to under 35 years,2002-04,3033,2651,257
Male,30 to under 35 years,2003-05,2856,2449,290
